2025-08-22 23:53:56,450 | INFO | backtest.cli | run_id=20250822_235356_0bcfbde4
2025-08-22 23:53:56,468 | INFO | backtest.trace | env.json yazıldı: artifacts/20250822_235356_0bcfbde4/env.json
2025-08-22 23:53:56,469 | INFO | backtest.trace | config.json ve inputs.json yazıldı
❌ Satır 177 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 178 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 179 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 180 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 181 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 182 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 183 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 184 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 185 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 186 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 187 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 188 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 189 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 190 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 191 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 192 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 193 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 194 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 195 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 196 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 197 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 198 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 199 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 200 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 201 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 202 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 203 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 204 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 205 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 206 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 207 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 208 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 209 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 210 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 211 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 212 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 213 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 214 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 215 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 216 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 217 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 218 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 219 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 220 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 221 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 222 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 223 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 224 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 225 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 226 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 227 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 228 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 229 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 230 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 231 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 232 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 233 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 234 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 235 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 236 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 237 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 238 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 239 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 240 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 241 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 242 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 243 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 244 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 245 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 246 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 247 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 248 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 249 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 250 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 251 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 252 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 253 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 254 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 255 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 256 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 257 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 258 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 259 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 260 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 261 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 262 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 263 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 264 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 265 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 266 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 267 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 268 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 269 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 270 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 271 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 272 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 273 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 274 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 275 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 276 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 277 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 278 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 279 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 280 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 281 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 282 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 283 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 284 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 285 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 286 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 287 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 288 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 289 | DF002 | DSL hatası: Yasak BinOp
